Strategy,Model,N_Folds,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1,Mean_Loss
Stratified,SDCNet,1,0.9585575888051668,,0.9587846013508083,,0.14407798168485017
Stratified,DNN,1,0.7408503767491926,,0.7394705114237095,,0.6982304722680214
Stratified,LSTM,1,0.922497308934338,,0.922013814364077,,0.28129972167818357
Stratified,Transformer,1,0.8961248654467169,,0.8957977011832038,,0.47228178317759856
LOSO,SDCNet,20,0.828815129842372,0.07154549995773839,0.826662022542328,0.07392071164107382,0.693328893818623
LOSO,DNN,20,0.628364216444769,0.07689946390714114,0.6081973460323489,0.08107298412615392,0.9611321580223366
LOSO,LSTM,20,0.6885994323699135,0.18475463266142725,0.6763186930584719,0.2044265856662643,1.0708214607126831
LOSO,Transformer,20,0.7305374732022635,0.09289539257926893,0.7226138797787999,0.098020376673794,1.3575509633745342
LOGO,SDCNet,5,0.7318942695550239,0.04922842997779291,0.7326016666481225,0.050279315936564,1.2636080032102435
LOGO,DNN,5,0.524749064891159,0.05344921552915489,0.5251815809180334,0.05090023684240192,1.321324240957537
LOGO,LSTM,5,0.5270084199970402,0.13938605898069956,0.5240019956393556,0.14474280261741063,1.7421389598131705
LOGO,Transformer,5,0.6241260133593158,0.04096534311052292,0.625093976900555,0.03969022657778332,1.9911211136753604
