Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9389128094725512,0.9374896227380732,,
LOSO,Contrastive_SDCNet,1,0.8146551724137931,0.8062430370021061,01,
LOSO,Contrastive_SDCNet,2,0.7272727272727273,0.7385230814154667,02,
LOSO,Contrastive_SDCNet,3,0.8741648106904232,0.8685673314865529,03,
LOSO,Contrastive_SDCNet,4,0.8042780748663102,0.8004658916454659,04,
LOSO,Contrastive_SDCNet,5,0.7097791798107256,0.6888825549936469,05,
LOSO,Contrastive_SDCNet,6,0.8910256410256411,0.8873882291072329,06,
LOSO,Contrastive_SDCNet,7,0.8233369683751364,0.8053859324667724,07,
LOSO,Contrastive_SDCNet,8,0.7408207343412527,0.7430913484281394,08,
LOSO,Contrastive_SDCNet,9,0.8801791713325868,0.877654542202419,09,
LOSO,Contrastive_SDCNet,10,0.8014941302027748,0.7807650400537168,10,
LOSO,Contrastive_SDCNet,11,0.8347639484978541,0.8410264566935748,11,
LOSO,Contrastive_SDCNet,12,0.8992248062015504,0.8792122242866163,12,
LOSO,Contrastive_SDCNet,13,0.8579117330462863,0.8600739404484995,13,
LOSO,Contrastive_SDCNet,14,0.8253319713993871,0.8282966187802692,14,
LOSO,Contrastive_SDCNet,15,0.844994617868676,0.8364612490261595,15,
LOSO,Contrastive_SDCNet,16,0.91129883843717,0.9018879582097915,16,
LOSO,Contrastive_SDCNet,17,0.9191256830601093,0.9273381191788551,17,
LOSO,Contrastive_SDCNet,18,0.8283499446290143,0.8195775446921001,18,
LOSO,Contrastive_SDCNet,19,0.8343621399176955,0.8332479750364289,19,
LOSO,Contrastive_SDCNet,20,0.9297297297297298,0.934359314293202,20,
LOGO,Contrastive_SDCNet,1,0.847732181425486,0.8448595085965337,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8009444242644388,0.8064118426350865,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8231316725978648,0.8262711927654446,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8739255014326648,0.8746669434435853,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8112335584784928,0.806500947297888,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
