Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9068891280947255,0.9053736104902459,,
LOSO,Contrastive_SDCNet,1,0.7931034482758621,0.7839824061105595,01,
LOSO,Contrastive_SDCNet,2,0.6893939393939394,0.7093777718416722,02,
LOSO,Contrastive_SDCNet,3,0.8285077951002228,0.8249293291039904,03,
LOSO,Contrastive_SDCNet,4,0.6909090909090909,0.6744341949296739,04,
LOSO,Contrastive_SDCNet,5,0.6487907465825447,0.6517301894068085,05,
LOSO,Contrastive_SDCNet,6,0.8311965811965812,0.8341074400052229,06,
LOSO,Contrastive_SDCNet,7,0.8593238822246456,0.8471969006241379,07,
LOSO,Contrastive_SDCNet,8,0.7041036717062635,0.7043126870457953,08,
LOSO,Contrastive_SDCNet,9,0.8544232922732363,0.8539338938069094,09,
LOSO,Contrastive_SDCNet,10,0.6179295624332978,0.5797475720586406,10,
LOSO,Contrastive_SDCNet,11,0.8347639484978541,0.8376441858310079,11,
LOSO,Contrastive_SDCNet,12,0.9147286821705426,0.9118529336272193,12,
LOSO,Contrastive_SDCNet,13,0.8363832077502691,0.8420034274335793,13,
LOSO,Contrastive_SDCNet,14,0.7323799795709908,0.7531119569673992,14,
LOSO,Contrastive_SDCNet,15,0.8266953713670614,0.8278333776949022,15,
LOSO,Contrastive_SDCNet,16,0.7750791974656811,0.770523777196518,16,
LOSO,Contrastive_SDCNet,17,0.8863387978142077,0.8909877318754104,17,
LOSO,Contrastive_SDCNet,18,0.7508305647840532,0.736830630653034,18,
LOSO,Contrastive_SDCNet,19,0.8271604938271605,0.8199215688251505,19,
LOSO,Contrastive_SDCNet,20,0.8983783783783784,0.9050848859445523,20,
LOGO,Contrastive_SDCNet,1,0.7764578833693304,0.7748720621803313,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.6977842353795859,0.711167684414956,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.7879003558718861,0.7887198257804776,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8184097421203438,0.8248750676765804,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7632420902950586,0.7616875604634078,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
