Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.8955866523143164,0.8955998286444858,,
LOSO,Contrastive_SDCNet,1,0.7252155172413793,0.724535590988669,01,
LOSO,Contrastive_SDCNet,2,0.6341991341991342,0.6656828033293342,02,
LOSO,Contrastive_SDCNet,3,0.8374164810690423,0.8346120416556612,03,
LOSO,Contrastive_SDCNet,4,0.7197860962566844,0.7037269383097287,04,
LOSO,Contrastive_SDCNet,5,0.7024185068349106,0.6972204333134592,05,
LOSO,Contrastive_SDCNet,6,0.8536324786324786,0.8523937415137622,06,
LOSO,Contrastive_SDCNet,7,0.7448200654307524,0.7354907237834502,07,
LOSO,Contrastive_SDCNet,8,0.6997840172786177,0.6942383019453798,08,
LOSO,Contrastive_SDCNet,9,0.7726763717805151,0.7773275046047831,09,
LOSO,Contrastive_SDCNet,10,0.6136606189967982,0.5838148857985316,10,
LOSO,Contrastive_SDCNet,11,0.7918454935622318,0.8005162387277673,11,
LOSO,Contrastive_SDCNet,12,0.9280177187153932,0.9308714453276852,12,
LOSO,Contrastive_SDCNet,13,0.8632938643702907,0.8673494249643833,13,
LOSO,Contrastive_SDCNet,14,0.7936670071501533,0.8056907802291015,14,
LOSO,Contrastive_SDCNet,15,0.813778256189451,0.8166019797466365,15,
LOSO,Contrastive_SDCNet,16,0.7803590285110876,0.7715602942680952,16,
LOSO,Contrastive_SDCNet,17,0.8229508196721311,0.8273292910886837,17,
LOSO,Contrastive_SDCNet,18,0.8095238095238095,0.8000669090727711,18,
LOSO,Contrastive_SDCNet,19,0.8209876543209876,0.8179070524521466,19,
LOSO,Contrastive_SDCNet,20,0.8918918918918919,0.9008814638323942,20,
LOGO,Contrastive_SDCNet,1,0.8045356371490281,0.804455234359954,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7362876861605522,0.7476329906932716,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.7644128113879004,0.7666307733880074,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8058739255014327,0.8130386011608697,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7333807323142553,0.7276137458525137,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
