Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
Stratified,SDCNet,single,0.9254574811625403,0.9259011472404156,0.24706989081638622,,
LOSO,SDCNet,1,0.7618534482758621,0.7638867937535663,0.7896634952389988,01,
LOSO,SDCNet,2,0.6309523809523809,0.6222673048591876,1.4934412468047369,02,
LOSO,SDCNet,3,0.8340757238307349,0.8382465728448382,0.5134164813267096,03,
LOSO,SDCNet,4,0.6759358288770053,0.6419266700455111,1.2266697907670934,04,
LOSO,SDCNet,5,0.6435331230283912,0.6393050625549339,1.7059488975287236,05,
LOSO,SDCNet,6,0.8728632478632479,0.8730817510720894,0.4130474830794538,06,
LOSO,SDCNet,7,0.8080697928026173,0.805321083998995,0.6023685439137362,07,
LOSO,SDCNet,8,0.6587473002159827,0.6572181519373573,1.7011266386148483,08,
LOSO,SDCNet,9,0.8309070548712206,0.8313697235090031,0.6621120555737251,09,
LOSO,SDCNet,10,0.6851654215581644,0.6866518209699192,0.9318061063867241,10,
LOSO,SDCNet,11,0.7918454935622318,0.7953629729841326,0.6725729853554345,11,
LOSO,SDCNet,12,0.9413067552602437,0.9411676525078144,0.2101438140449169,12,
LOSO,SDCNet,13,0.8030139935414424,0.8025888476668117,0.7384876353201026,13,
LOSO,SDCNet,14,0.7936670071501533,0.7865636592756667,0.887968611485868,14,
LOSO,SDCNet,15,0.7664155005382132,0.7659758706636837,0.7667722306479936,15,
LOSO,SDCNet,16,0.8785638859556494,0.8799550487000107,0.419956572369575,16,
LOSO,SDCNet,17,0.8437158469945355,0.8441004071629997,0.5122244956389151,17,
LOSO,SDCNet,18,0.7763012181616833,0.7625721342912702,0.7692942557276814,18,
LOSO,SDCNet,19,0.8580246913580247,0.8584978220001128,0.6676858310691185,19,
LOSO,SDCNet,20,0.9405405405405406,0.940375137662322,0.18510256460616115,20,
LOGO,SDCNet,1,0.7102231821454283,0.7038849980823292,0.9910112248641111,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,SDCNet,2,0.7566291318561569,0.7601867881225919,0.8841376263002807,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,SDCNet,3,0.8085409252669039,0.8030945931552312,0.7095460972520009,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,SDCNet,4,0.8012177650429799,0.8009651499491166,0.6645254419428059,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,SDCNet,5,0.71240668325631,0.7142103807914434,1.0425812738775078,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
