Fraction,Method,Strategy,N_folds,Accuracy,F1_macro,Precision_macro,Recall_macro
30pct,baseline,Stratified,1,0.9131,0.9134,0.91,0.92
30pct,baseline,LOSO,20,0.755,0.7501,0.792,0.771
30pct,baseline,LOGO,5,0.676,0.6729,0.688,0.694
30pct,random,Stratified,1,0.9413,0.9394,0.94,0.94
30pct,random,LOSO,20,0.8449,0.8411,0.8545,0.849
30pct,random,LOGO,5,0.8391,0.837,0.844,0.84
40pct,baseline,Stratified,1,0.9255,0.9259,0.92,0.93
40pct,baseline,LOSO,20,0.7898,0.7868,0.8145,0.8025
40pct,baseline,LOGO,5,0.7578,0.7565,0.764,0.77
40pct,random,Stratified,1,0.9448,0.9428,0.94,0.95
40pct,random,LOSO,20,0.8546,0.8513,0.868,0.858
40pct,random,LOGO,5,0.8394,0.8383,0.842,0.842
50pct,baseline,Stratified,1,0.9338,0.9342,0.93,0.94
50pct,baseline,LOSO,20,0.7996,0.7969,0.8245,0.812
50pct,baseline,LOGO,5,0.7665,0.7648,0.77,0.782
50pct,random,Stratified,1,0.9526,0.9509,0.95,0.95
50pct,random,LOSO,20,0.8532,0.8498,0.8655,0.855
50pct,random,LOGO,5,0.8506,0.8481,0.854,0.85
60pct,baseline,Stratified,1,0.9435,0.9436,0.94,0.95
60pct,baseline,LOSO,20,0.811,0.8093,0.831,0.8225
60pct,baseline,LOGO,5,0.768,0.7668,0.774,0.776
60pct,random,Stratified,1,0.9545,0.9534,0.95,0.95
60pct,random,LOSO,20,0.8611,0.8565,0.873,0.861
60pct,random,LOGO,5,0.8573,0.8533,0.858,0.856
70pct,baseline,Stratified,1,0.9518,0.9521,0.94,0.95
70pct,baseline,LOSO,20,0.815,0.8132,0.834,0.824
70pct,baseline,LOGO,5,0.8093,0.8097,0.81,0.816
70pct,random,Stratified,1,0.9578,0.9556,0.95,0.96
70pct,random,LOSO,20,0.8666,0.8634,0.877,0.87
70pct,random,LOGO,5,0.8661,0.8616,0.864,0.862
100pct,baseline,Stratified,1,0.965,0.9651,0.96,0.97
100pct,baseline,LOSO,20,0.835,0.8322,0.8505,0.8395
100pct,baseline,LOGO,5,0.811,0.8113,0.812,0.818
100pct,random,Stratified,1,0.9674,0.9666,0.97,0.97
100pct,random,LOSO,20,0.8773,0.8708,0.8825,0.877
100pct,random,LOGO,5,0.8638,0.8615,0.866,0.868
