Fraction,Method,Strategy,N_folds,Mean_Baseline,CI95_Baseline,Mean_Method,CI95_Method,Mean_Diff,Std_Diff,CI95_Diff,t_stat,t_pval,Shapiro_p,Normal_diff,W_stat,W_pval,Cohens_d,Sig_t (p<0.05),Sig_W (p<0.05)
30pct,random,LOSO,20,0.755,"[0.7100, 0.7999]",0.8449,"[0.8166, 0.8733]",0.0899,0.0523,"[0.0654, 0.1144]",7.6891,0.0,0.7888,True,0.0,2e-06,1.7193,YES,YES
30pct,random,LOGO,5,0.676,"[0.5890, 0.7629]",0.8391,"[0.8007, 0.8775]",0.1632,0.047,"[0.1048, 0.2216]",7.7595,0.001487,0.311,True,0.0,0.0625,3.4702,YES,no
30pct,random_shift,LOSO,20,0.755,"[0.7100, 0.7999]",0.8376,"[0.8088, 0.8664]",0.0826,0.0604,"[0.0544, 0.1109]",6.119,7e-06,0.542,True,5.0,1.9e-05,1.3683,YES,YES
30pct,random_shift,LOGO,5,0.676,"[0.5890, 0.7629]",0.8314,"[0.7948, 0.8680]",0.1554,0.0528,"[0.0898, 0.2210]",6.5771,0.002766,0.582,True,0.0,0.0625,2.9414,YES,no
30pct,semihard,LOSO,20,0.755,"[0.7100, 0.7999]",0.79,"[0.7502, 0.8298]",0.035,0.0651,"[0.0046, 0.0655]",2.4077,0.026379,0.5066,True,43.0,0.019234,0.5384,YES,YES
30pct,semihard,LOGO,5,0.676,"[0.5890, 0.7629]",0.7688,"[0.7134, 0.8241]",0.0928,0.0518,"[0.0285, 0.1570]",4.009,0.01601,0.1333,True,0.0,0.0625,1.7929,YES,no
30pct,semihard_shift,LOSO,20,0.755,"[0.7100, 0.7999]",0.781,"[0.7430, 0.8190]",0.026,0.0502,"[0.0025, 0.0495]",2.3167,0.031845,0.9363,True,47.0,0.029575,0.518,YES,YES
30pct,semihard_shift,LOGO,5,0.676,"[0.5890, 0.7629]",0.7689,"[0.7251, 0.8127]",0.0929,0.0531,"[0.0270, 0.1589]",3.9133,0.017345,0.1738,True,0.0,0.0625,1.7501,YES,no
40pct,random,LOSO,20,0.7898,"[0.7466, 0.8329]",0.8546,"[0.8245, 0.8847]",0.0648,0.0441,"[0.0442, 0.0855]",6.5768,3e-06,0.0841,True,0.0,2e-06,1.4706,YES,YES
40pct,random,LOGO,5,0.7578,"[0.6996, 0.8160]",0.8394,"[0.8227, 0.8562]",0.0816,0.0423,"[0.0292, 0.1341]",4.3192,0.012455,0.5555,True,0.0,0.0625,1.9316,YES,no
